2025-07-21 13:06:44.327  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.349  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.371  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.443  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.506  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.678  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.687  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.764  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.952  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.959  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.975  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.000  2369-2384  luesky_api_test         com.testapp.bluesky_api_test         W  Cleared Reference was only reachable from finalizer (only reported once)
2025-07-21 13:06:45.004  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.033  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.057  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.087  2369-2384  luesky_api_test         com.testapp.bluesky_api_test         I  Background concurrent mark compact GC freed 6487KB AllocSpace bytes, 33(1644KB) LOS objects, 49% free, 6270KB/12MB, paused 18.730ms,7.613ms total 190.732ms
2025-07-21 13:06:45.136  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.364  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.371  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:45.515  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:46.259  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:46.275  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:46.427  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:50.254  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:50.300  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:50.309  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:50.316  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:51.408  2369-2384  luesky_api_test         com.testapp.bluesky_api_test         W  Suspending all threads took: 8.599ms
2025-07-21 13:06:51.477  2369-2384  luesky_api_test         com.testapp.bluesky_api_test         I  Background concurrent mark compact GC freed 3084KB AllocSpace bytes, 8(2664KB) LOS objects, 49% free, 6770KB/13MB, paused 9.749ms,19.105ms total 217.381ms
